Country_Name,Country_Code,Indicator_Name,Indicator_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,7663938303,8067267031,8814309884,9608717288,8192413793,8427777778,8781333333,9.25E+09,10034444444,10285111111,11561111111,12986590909,13977727273,17035581395,26100930233,27464651163,31419534884,36210697674,39316279070,48310930233,59116511628,66327441860,67736744186,67556279070,59867743468,61965466667,60516123711,48029034483,60226413793,43536709104,48606952195,53453444787,60416519620,60037460783,58418666667,77389487772,70543211119,85837678559,91336763256,97972842462,1.17E+11,1.23E+11,92893587734,83620628582,1.12E+11,1.46E+11,1.83E+11,2.30E+11,3.16E+11,3.30E+11,3.93E+11,3.16E+11,3.81E+11,3.71E+11,4.82E+11,NA,NA,NA,NA,NA,NA,NA,NA
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26E+09,3.44E+09,3.80E+09,4.43E+09,4.48E+09,4.78E+09,4.24E+09,4.20E+09,4.32E+09,4.22E+09,4.09E+09,3.74E+09,3.57E+09,3.66E+09,3.80E+09,3.79E+09,3.92E+09,4.12E+09,4.20E+09,NA,NA
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14094687821,26336616250,36658108850,25423812649,6293304975,6471740806,9613369520,9866990236,13180953598,16286433533,20736164459,24657470575,26843700442,27209602050,28683659007,31172518403,32685198809,35064105501,39552513231,45427854693,57633255739,66371664817,77414425532,99130304099,1.06E+11,1.47E+11,1.73E+11,1.96E+11,2.14E+11,2.33E+11,2.39E+11,2.57E+11,2.81E+11,3.10E+11,3.34E+11,3.47E+11,3.66E+11,4.09E+11
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119258835.3,121185497.6,113781795.8,114501912.5,117389554.2,144482515.4,131856420.7,126498935.3,139464173.5,158351368.4,154013202.1,168879207.2,201334169.1,209088824.6,200491853.2,233701301.5,249333250.1,261370044.5,272771209.1,262293410.7,268006972.7,272014627.2,257926881.7,262596534.9,314471413.9,364996869.1,394962431.8,439358585.2,516392922.5,590748431.3,592622317.3,670712977.4,770153591.1,747839697.7,758304466.2,772315986.5,730870805.2,780889605.9,880061831,914736985.4,936526267.6,909421043.5,971636097.9,983582864.6
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1.38E+12,1.45E+12,1.55E+12,1.67E+12,1.83E+12,1.99E+12,2.16E+12,2.30E+12,2.48E+12,2.74E+12,3.00E+12,3.31E+12,3.82E+12,4.66E+12,5.37E+12,5.98E+12,6.50E+12,7.35E+12,8.69E+12,1.01E+13,1.13E+13,1.17E+13,1.16E+13,1.18E+13,1.23E+13,1.29E+13,1.53E+13,1.74E+13,1.94E+13,2.03E+13,2.29E+13,2.38E+13,2.55E+13,2.59E+13,2.79E+13,3.11E+13,3.17E+13,3.16E+13,3.16E+13,3.28E+13,3.38E+13,3.36E+13,3.49E+13,3.92E+13,4.41E+13,4.78E+13,5.18E+13,5.84E+13,6.41E+13,6.08E+13,6.66E+13,7.39E+13,7.55E+13,7.76E+13,7.98E+13,7.52E+13,7.65E+13,8.14E+13,8.65E+13,8.77E+13,8.52E+13,9.69E+13,1.01E+14
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121221651.6,111862823.6,109200934.3,95572172.98,100947848.6,111713922.1,133016065.4,122888609.7,125766269.8,125597205.4,132303041.4,133122897.2,221098106.5,224865731.4,249907893.8,285475620.9,269485285,255408053.2,258856139.8,266299591.5,281790139,333426144.5,407747521.1,476801793.2,499923757.8,573548459.8,641346191.7,628006115.4,680260919.9,744096948.5,773141695.1,797736265.9,796683672.8,824150487.2,843924750.7,884844419.8,878448439.5,912950619.4,868898350.4,843850777.8,832421565.4
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5181776769,5015894693,5343950626,6341614505,6163483291,6735327512,7074392884,6295845465,6682674063,7180768692,7878762812,7899741279,7717143395,9412034299,9429156202
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5647119229,5930370370,6463649985,5368270615,4167356037,4258788725,5785685311,6838557384,6325141676,7641102523,9652436180,9861560095,10694628092,11777966673,13872791659,16746347681,19061978586,21650532264,26910855852,25130278254,30906749533,32726417878,35401323350,40415233436,43228585321,42444489461,31317824906,26842231205,21606161066,NA,NA,NA,NA
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,8748596504,9225996313,9813996078,10854195663,11955995222,13068994778,14211394321,15821393678,17124793157,19256992305,21218391521,23411079377,24515911652,33262767310,41389185877,42906919870,41150449964,45328399961,51607399955,63038687890,89411894564,93141478239,85904070615,96204110963,84870134616,64459376104,73354782108,96535747614,1.04E+11,1.08E+11,1.26E+11,1.35E+11,1.47E+11,1.47E+11,1.54E+11,1.72E+11,1.63E+11,1.69E+11,1.53E+11,1.52E+11,1.52E+11,1.35E+11,1.29E+11,1.97E+11,2.56E+11,2.89E+11,3.04E+11,3.33E+11,3.16E+11,3.30E+11,4.17E+11,4.58E+11,4.34E+11,4.01E+11,3.81E+11,3.47E+11,3.24E+11,3.81E+11,4.04E+11,3.89E+11,3.38E+11,4.19E+11,4.06E+11
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,7.13E+08,696285714.3,693142857.1,718714285.7,839428571.4,1082857143,1264285714,1.37E+09,1605857143,1965714286,1825285714,1.69E+09,1872416680,2434255237,2910981262,2442672141,2742859263,2515296940,2811032473,3353445378,3884530854,4008126497,3871117093,3321048451,2719518933,2252454500,1664413508,2265250972,3728878149,3994673161,3285217391,3376806697,3181921788,3273507754,3656808233,3806982679,3597220962,4303290117,3537741625,3404284653,3600631919,4094441301,4193850445,4901869716,6221109716,8331870169,12756858899,14056957976,17910858638,15328342304,20265559484,23459515276,25503060420,28037239463,27141023558,21251216799,20958412538,25873601261,26311506435,23308667781,18110638619,22147649569,29784454056
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1052990400,1096646600,1117601600,1159511700,1217138000,1311435800,1281749500,1397002000,1479599900,1747998800,1884206300,2178716300,2677729400,3309353600,3982161400,4371300700,4318372000,4364382100,4351600500,5177459400,6678868200,8011373800,8539700700,7764067000,6352125900,5637259300,6217523700,6741215100,7814784100,8286322700,8783816700,8641481700,6751472200,6563813300,6890675000,7111270700,8553146600,8529571600,6401968200,6858013100,6689957600,6777384700,6342116400,5727591800,5805598400,5755215200,5443896500,5291950100,4415702800,9665793300,12041655200,14101920300,17114849900,19091020000,19495519600,19963120600,20548678100,17584890937,34156069918,21832234926,21509698406,28371238666,20678055598
Aruba,ABW,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.43266927,58.36467506,83.15097435,95.56192171,132.5715507,118.9001783,122.6065546,131.0110362,134.7188957,127.7008552,162.7290184,169.2163491,121.4145015,159.4317298,206.4605392,189.6792284,161.3216186,191.7344255,287.043173,342.909458,377.7052939,409.9767993,480.7345062,195.8314639,111.5047861,473.1927854,163.5913086,110.0974015,107.9527924,100,91.03744348,89.89300148,98.5255812,96.41680083,68.85894092,84.23285198,NA
Africa Eastern and Southern,AFE,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.27941877,24.53626929,26.6264062,29.46400927,38.46682409,33.06015209,38.85439915,27.5704283,24.92384436,22.74650307,25.91216074,17.05330237,11.37809622,11.59956768,10.38147466,5.011093681,8.558999801,7.82093174,5.983349443,13.1078298,15.22616283,21.96076196,31.74987521,27.20492977,28.18902052,31.99253127,35.53331568,39.13055582,39.10284589,43.20203706,66.74012818,84.35988458,117.4305131,110.7673512,100.081625,100,84.60772005,91.48159394,95.90352803,87.7495779,84.65302966,72.17528728,NA
Africa Western and Central,AFW,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.416873964,8.112657128,5.716025271,4.752720825,6.070799713,6.771648405,5.249115038,6.297971358,6.631478667,6.467141731,7.628133843,6.511609373,9.609022255,7.069388263,7.028304031,7.094345155,9.858626783,12.55041851,10.04710053,15.02474052,14.69128697,15.36302673,18.1708023,26.48297783,28.18407422,40.36721054,42.41915806,66.01897082,101.398876,109.5075966,80.54531909,97.75698333,114.6157184,127.2487127,138.1187373,100,63.02026109,69.89593863,76.34562624,68.27127077,46.11875273,57.00049235,NA
Albania,ALB,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.58490493,21.81414343,15.01990444,19.26620223,26.48685865,25.35556942,30.84303121,34.95258411,43.32998204,53.67057477,60.85299468,71.08038876,97.33480665,122.0453529,105.7612496,102.4120105,125.4169296,113.4840013,113.949146,121.3849161,100,107.2351623,122.5107716,137.7252514,137.0602392,129.4644557,179.399735,NA
Andorra,AND,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.26402314,82.03718212,82.03202257,82.25178138,83.37609265,78.218927,80.54598521,92.72025363,116.95551,136.1732508,139.2793535,138.1877245,148.8510308,149.9459233,124.4527152,119.0726892,125.0386384,109.5830452,114.951938,120.274015,100,104.6641878,114.2639368,124.3973469,121.1135866,112.0558814,140.8750026,NA
Arab World,ARB,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,ARE,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.276536251,3.72297428,3.326267017,2.977392402,2.494510451,2.481603229,2.583722131,2.687739155,3.235157216,3.800037987,4.251411131,5.218313904,6.609256879,7.410263887,7.981218646,9.026634864,11.6025269,12.94777002,12.37140809,12.04207169,13.29026273,14.15753571,16.19195798,19.768555,27.36418699,32.13684257,37.98421879,50.30041865,76.03904795,56.94387016,62.63825718,87.2881197,97.3846475,102.7187696,104.7862118,100,101.1990903,97.8421953,92.88970794,109.5018092,93.75279441,131.9310081,NA
Argentina,ARG,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.42824323,15.58648907,8.82485163,7.444031818,7.577238374,6.303677938,7.807953448,9.616984406,8.794772727,6.948556319,6.738830368,13.41591636,24.57826207,27.73786866,35.68183823,33.42194502,39.46816544,50.57750022,52.11753176,42.36883482,41.78058301,33.75134956,14.93231459,22.97815796,37.28128893,47.65169006,56.72618555,74.25629101,95.44340172,64.42288845,94.33186612,123.4437339,112.904576,123.6472054,109.1852836,100,92.76970353,111.1817955,108.7650527,81.59455193,70.34963875,104.949755,NA
Armenia,ARM,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.80427127,26.41978833,27.54659631,27.85839798,24.68789989,27.22553322,26.98164875,30.47629709,39.5000224,41.69806975,55.62109445,67.65787344,100.8817297,136.6401322,102.5271781,116.7829971,127.9714286,131.5494298,138.2053148,135.8776073,100,101.0567506,129.3287113,153.2211889,170.2190101,140.7522095,165.3721922,NA
American Samoa,ASM,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.06584296,34.64639212,29.31617794,33.60996159,42.04946735,43.82620542,46.343251,51.22928065,50.19285012,55.9672488,53.30214172,55.07887978,61.889709,69.14472273,73.73462938,61.54916754,69.67774415,78.26531145,73.76424168,67.01263707,74.91912142,75.06718295,71.88386057,90.45077327,87.13419554,74.94873373,83.75839327,68.1379045,84.06932239,71.36564531,53.43539707,51.00718839,58.58838162,70.92146079,90.46557939,100,96.94534312,88.09659534,96.73509579,105.3556808,103.3469303,105.2717299,NA
Antigua and Barbuda,ATG,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.73985156,25.00892553,31.33470197,24.57013684,29.75483705,37.52782659,46.8100688,55.72616495,56.43634841,43.41255834,57.45988791,66.5833089,70.43427194,72.95104662,77.04182066,77.03368471,81.40933508,84.47275828,85.78832785,92.25030578,90.69051802,86.01115468,89.13073024,94.12539355,101.1493407,112.7503737,139.0842709,162.2749727,165.5026193,118.9598889,111.6874898,95.91447016,109.7081191,112.0973566,118.6223656,100,106.5121139,123.5031051,155.7022498,156.1777623,110.9942756,132.6991681,NA
Australia,AUS,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.39207133,31.37978566,31.60261455,30.9972931,33.1690355,34.30620147,30.64161099,34.86293798,42.72616969,52.46215213,60.0865838,66.78775756,79.29754247,96.05383415,79.36229042,96.70898757,116.8825325,125.1506068,116.1338543,113.8373457,100,94.133713,109.7260926,112.8943656,106.2650689,101.5938515,125.2584262,NA
Austria,AUT,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.45046943,43.83878984,42.13107158,44.49974955,45.74790852,46.27832274,47.82744581,50.17699991,63.78352889,76.83981693,81.59598464,87.93054063,104.4804063,118.1020181,91.68040459,101.8989508,122.6674627,114.397851,117.4484146,116.6809537,100,101.0579317,112.6304046,124.1439959,118.3997638,110.5119427,140.6765189,NA
Azerbaijan,AZE,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24771339,10.4267254,8.614797053,11.67976842,11.23669343,12.71604804,15.52616446,18.07045905,28.4939295,38.14814413,47.19538447,57.1716341,65.58767238,82.17691799,70.67605543,73.19322534,110.3048922,113.0282097,111.9770959,99.68535376,100,92.10563435,95.29766619,124.4035284,148.2906029,116.4408085,127.0064123,NA
Burundi,BDI,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6036075,18.81521082,24.8419644,21.19265394,21.81569272,21.71720148,23.51758398,24.69236042,23.83289598,21.78896939,26.92159991,29.78776498,25.83831298,22.86817197,26.20147025,27.3310854,14.82829946,14.16850152,18.39300547,13.78083813,17.26035623,16.26039008,15.1011342,18.27502605,20.56459725,31.4189386,50.26589066,37.2382071,46.99199053,46.93796039,59.37446313,87.78801859,87.64868383,94.66431747,89.76846268,100,71.86900026,88.13775585,92.5951846,103.563421,106.1330621,120.1481087,NA
Belgium,BEL,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.92495997,44.65164222,43.12255514,44.9574713,43.92849337,47.1527985,47.57649125,52.80832199,62.56352456,76.05799257,84.8666881,93.63700272,109.5938936,124.1731334,94.09739868,104.1666664,124.3423471,116.9356459,120.2524119,120.8159468,100,101.0330634,108.9712941,121.212055,114.220668,105.8332155,135.8634782,NA
Benin,BEN,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.93098506,21.19496407,18.12711161,12.4002246,11.24850603,12.93059459,15.09182401,13.63932946,12.75035548,8.094594853,10.35340173,9.419211777,22.57307484,22.3086122,16.83306817,29.1183495,25.54969499,26.62118558,28.72718651,29.25334505,23.93759739,24.32809654,28.30279203,34.8245182,34.90183705,39.75281263,47.95329461,79.54467516,89.39985821,80.60827767,80.20379868,83.12875438,91.32837727,117.5449526,149.4791665,100,112.1632552,136.4364951,170.8378685,153.5296969,138.8301377,169.1896887,NA
Burkina Faso,BFA,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.64176324,10.95943831,11.26745204,9.441349758,8.209424699,10.77879233,13.14329365,14.09304865,14.73430292,12.70210059,17.39022737,17.29243699,15.13088642,16.51274375,11.32689898,14.7651465,21.00538717,19.07396218,23.75140736,22.01257616,19.83729209,21.29830379,23.99305868,30.031907,41.23299665,40.90832739,48.7557131,54.48317143,65.50984874,60.72227577,66.49927832,78.12828206,116.0705609,141.4235942,116.1084823,100,108.5957503,125.3619784,139.6490819,139.0886378,133.9423053,149.8026261,NA
Bangladesh,BGD,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.567786437,6.820797942,6.226402858,5.470552471,7.139589404,6.424728295,6.434204855,6.861231263,7.685919378,9.224761021,9.143237338,8.62217819,9.429909581,10.093572,11.63082158,15.9201661,16.72402271,17.273404,17.82516357,19.81340062,21.12620787,21.44727485,20.43413014,24.81491084,28.62490577,33.03184747,38.13324518,44.22638315,56.74561745,51.92485607,66.16643637,86.12657651,81.27299494,88.1985288,97.79124939,100,106.4793697,125.6591981,143.8739229,140.5414854,125.5823799,191.3273861,NA
Bulgaria,BGR,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.37997322,17.37691945,16.88043603,16.94682785,18.75719127,22.40548492,24.92435415,27.23346083,37.22401506,49.48910705,62.19053949,79.67565809,102.5879601,126.3743982,80.59661426,87.35784998,111.5612154,112.0015013,117.4740447,118.6445743,100,99.06719121,117.0465443,129.6191881,128.9581026,120.0310674,158.1736019,NA
Bahrain,BHR,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.07136544,33.23933512,29.12997789,26.28960153,28.04525074,25.03988429,19.38492387,21.8715428,20.90263916,25.25637836,29.91664286,33.16856751,34.36041329,31.09567309,30.20817638,29.94490054,34.42910393,32.44636035,28.74023129,29.80127837,37.34208719,34.70466184,40.40280302,45.59464783,59.51665745,75.70443178,84.74804272,92.58874949,120.7328924,81.40201687,98.81076502,102.5987797,87.78013084,80.57207898,98.45558676,100,93.32208535,105.9467228,119.8565107,106.8348664,102.2173625,114.346603,NA
"Bahamas, The",BHS,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.4363575,246.5971564,214.9224781,156.2711578,138.7234259,104.1926202,111.3388626,104.2643873,77.55280975,106.1882194,37.63710224,36.93703454,35.12322276,32.29180772,35.74407584,42.08192282,46.24238322,56.3913338,63.41570753,59.47528776,70.19634395,64.72579554,58.49695329,59.64793502,64.48882872,78.25321602,92.32566017,100.0778605,108.2938389,85.82599866,87.6980366,100.3960731,114.6073121,107.1748815,113.2092079,100,89.08598511,105.2471226,112.281652,101.8686527,68.51726474,108.3716994,NA
Bosnia and Herzegovina,BIH,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.04045703,20.94282821,25.96153997,32.37769108,36.66028265,35.39561769,37.32687915,43.09232832,53.42535507,65.81697727,78.67470536,81.73489543,108.1644331,135.6344019,97.62933362,102.6329225,122.9704006,111.491928,114.6514129,122.2777517,100,101.7743449,116.8855214,129.4188665,124.1777489,109.8631533,144.9917281,NA
Belarus,BLR,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.58193194,23.17664827,29.01982354,28.55390587,22.28956776,28.8775433,27.67450716,30.36747784,38.60269778,55.0778135,55.80324228,74.65036321,95.83241628,131.530059,95.41793327,116.5108107,152.735069,154.9865558,143.4410864,135.2742996,100,91.72636775,114.3275543,128.2823687,131.8486171,109.4403285,138.2277039,NA
Belize,BLZ,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.10770755,16.33948685,12.91300168,11.27769107,13.12838651,12.92611645,12.30417383,14.42069551,18.25726937,21.75992107,21.31654105,25.85122406,27.64492071,28.34403868,26.22247286,25.94908041,25.77455312,28.87367352,29.77657481,37.31746514,52.89145311,52.15642084,52.96348344,55.65342311,52.42729123,59.81746265,66.61726772,69.04017055,84.45103096,67.45459517,71.18831715,83.85683114,86.87262235,93.60148492,97.08949943,100,96.11934033,92.40301885,96.6218377,99.46037775,79.40406498,106.9951143,NA
Bermuda,BMU,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.50727732,39.89180864,43.38898641,46.69455493,51.18933697,45.17707714,55.29134815,47.19993134,54.84182499,60.12372207,66.8665694,57.31420234,63.15800337,60.01134128,61.80943391,58.88650962,60.92077086,66.27408992,67.34475372,76.23126336,76.98072803,77.08779444,79.97858667,89.18629551,105.7815845,105.4603854,117.1306209,124.9464668,124.0899357,113.9186296,104.0685225,96.35974303,96.35974303,108.3511777,103.0373662,100,104.6038544,117.2376874,117.8800856,122.6980727,95.61027837,116.1670235,NA
Bolivia,BOL,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.813124798,9.39031673,5.673508342,5.90491294,5.001820654,7.074222907,6.901181416,7.846254182,6.046213095,6.255091582,7.036338084,9.926847747,11.16373605,12.34738081,12.37912215,14.57848976,16.74099646,18.95162713,20.30421773,17.97071736,18.73455732,17.48538205,18.17323734,16.54550053,19.21740453,24.88955106,29.85459272,36.71424418,52.0288463,46.53626358,57.23933042,81.16894148,87.83424379,95.61053391,107.703554,100,86.28455942,95.09929727,102.3499283,100.1782588,72.49308655,97.87683325,NA
Brazil,BRA,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.83484446,13.34598853,11.67767069,9.312095741,8.430270594,7.943631697,8.622598266,9.190158889,8.898618959,11.01616326,12.48433839,12.71989822,12.78568869,15.37512862,19.95147413,29.99961163,31.57535956,35.59906922,33.60937993,28.68586034,32.49644839,32.35159661,27.55314606,28.1951708,36.81329726,43.01654406,53.77842485,70.99101404,101.9175106,75.0179269,107.0508178,132.2762317,130.4466589,139.7989774,133.4162271,100,80.4874234,91.90675118,106.8601656,107.0384818,92.1732825,130.0509853,NA
